iter	Passed	Remaining
0	94	94737
1	95	47613
2	95	31897
3	96	24034
4	97	19312
5	97	16230
6	98	14004
7	99	12315
8	99	10998
9	100	9938
10	100	9071
11	101	8350
12	102	7745
13	102	7228
14	103	6780
15	103	6386
16	104	6050
17	105	5745
18	106	5474
19	106	5226
20	107	5001
21	107	4793
22	108	4604
23	108	4429
24	109	4267
25	109	4118
26	110	3986
27	111	3864
28	111	3747
29	112	3640
30	113	3544
31	114	3449
32	114	3357
33	115	3269
34	115	3189
35	116	3115
36	117	3055
37	118	2992
38	118	2928
39	119	2868
40	120	2807
41	120	2750
42	121	2695
43	121	2643
44	122	2593
45	122	2548
46	123	2504
47	125	2483
48	125	2440
49	126	2399
50	126	2359
51	127	2320
52	127	2284
53	128	2248
54	129	2216
55	129	2190
56	130	2165
57	131	2138
58	132	2109
59	132	2081
60	133	2053
61	133	2026
62	134	2000
63	134	1974
64	135	1956
65	136	1935
66	137	1913
67	137	1891
68	138	1869
69	139	1847
70	139	1827
71	140	1807
72	140	1787
73	141	1768
74	142	1751
75	142	1734
76	143	1719
77	144	1702
78	144	1684
79	145	1667
80	145	1651
81	146	1634
82	146	1616
83	146	1601
84	147	1586
85	147	1572
86	148	1559
87	149	1546
88	149	1535
89	150	1522
90	151	1509
91	151	1497
92	152	1485
93	152	1473
94	153	1461
95	153	1449
96	154	1438
97	155	1428
98	155	1417
99	156	1407
100	156	1396
101	157	1385
102	157	1375
103	158	1365
104	159	1355
105	159	1346
106	160	1337
107	160	1329
108	161	1321
109	162	1312
110	162	1303
111	163	1294
112	163	1285
113	164	1276
114	164	1268
115	165	1260
116	165	1251
117	166	1242
118	166	1235
119	167	1229
120	168	1224
121	168	1216
122	169	1208
123	170	1201
124	170	1193
125	171	1186
126	171	1178
127	171	1171
128	172	1164
129	173	1158
130	173	1152
131	174	1146
132	174	1140
133	175	1135
134	176	1129
135	176	1123
136	177	1118
137	178	1112
138	178	1106
139	179	1100
140	179	1095
141	180	1090
142	181	1087
143	181	1081
144	182	1076
145	183	1071
146	183	1066
147	184	1061
148	184	1055
149	185	1050
150	186	1045
151	186	1041
152	187	1037
153	188	1033
154	188	1028
155	189	1023
156	189	1019
157	190	1014
158	190	1009
159	191	1005
160	191	1000
161	192	996
162	193	993
163	194	990
164	194	986
165	195	983
166	196	979
167	196	974
168	197	970
169	197	965
170	198	961
171	198	957
172	199	955
173	200	951
174	201	947
175	201	943
176	202	939
177	202	936
178	203	932
179	203	928
180	204	925
181	205	922
182	205	919
183	206	916
184	207	913
185	207	909
186	208	906
187	209	902
188	209	899
189	210	895
190	210	892
191	211	890
192	212	888
193	213	885
194	213	882
195	214	880
196	215	876
197	215	873
198	216	870
199	216	866
200	217	863
201	218	861
202	218	858
203	219	856
204	220	854
205	220	851
206	221	849
207	222	846
208	222	843
209	223	840
210	224	838
211	224	835
212	226	835
213	226	832
214	227	830
215	227	827
216	228	824
217	228	821
218	229	818
219	229	815
220	230	813
221	231	812
222	232	810
223	233	807
224	233	805
225	234	802
226	234	800
227	235	797
228	236	794
229	236	792
230	237	790
231	238	788
232	238	786
233	239	784
234	240	781
235	240	779
236	241	776
237	241	774
238	242	771
239	242	769
240	243	767
241	244	765
242	245	763
243	245	761
244	246	758
245	246	756
246	247	753
247	247	751
248	248	749
249	249	747
250	250	746
251	251	745
252	251	743
253	252	741
254	252	739
255	253	736
256	254	734
257	254	732
258	255	730
259	256	729
260	256	727
261	257	725
262	258	723
263	258	721
264	259	719
265	260	717
266	260	715
267	261	713
268	261	711
269	262	709
270	263	708
271	264	706
272	264	704
273	265	702
274	265	700
275	266	698
276	266	696
277	267	693
278	267	691
279	268	690
280	269	688
281	269	687
282	270	685
283	271	683
284	271	681
285	272	679
286	272	677
287	273	675
288	273	673
289	274	671
290	274	669
291	275	668
292	276	667
293	277	666
294	278	664
295	278	662
296	279	660
297	279	659
298	280	657
299	280	655
300	281	653
301	282	653
302	283	651
303	283	649
304	284	648
305	284	646
306	285	644
307	286	642
308	286	640
309	287	639
310	287	637
311	288	636
312	289	635
313	289	633
314	290	631
315	291	630
316	291	628
317	292	626
318	292	625
319	293	623
320	294	621
321	294	620
322	295	619
323	296	617
324	296	616
325	297	614
326	297	612
327	298	610
328	298	609
329	299	607
330	299	605
331	300	605
332	301	604
333	302	602
334	302	601
335	303	599
336	304	598
337	304	596
338	305	595
339	305	593
340	306	592
341	307	591
342	307	589
343	308	587
344	308	586
345	309	585
346	310	583
347	310	582
348	311	580
349	311	579
350	312	577
351	313	576
352	314	575
353	314	574
354	315	572
355	315	571
356	316	569
357	316	568
358	317	566
359	317	565
360	318	563
361	319	562
362	319	561
363	320	560
364	321	558
